1: Goal reached in 341 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 392 iterations (0.76 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 466 iterations (0.89 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 454 iterations (0.87 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 516 iterations (1.00 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 470 iterations (0.94 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 417 iterations (0.82 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 392 iterations (0.69 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 372 iterations (0.65 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 371 iterations (0.70 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 352 iterations (0.62 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 332 iterations (0.58 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 324 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 313 iterations (0.55 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 307 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.53 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 379 iterations (0.69 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 433 iterations (0.84 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 402 iterations (0.77 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 491 iterations (0.95 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 476 iterations (0.91 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 387 iterations (0.77 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 423 iterations (0.80 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 407 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 402 iterations (0.75 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 390 iterations (0.73 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 339 iterations (0.64 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 325 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 312 iterations (0.55 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 307 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 305 iterations (0.53 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.53 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 346 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 395 iterations (0.72 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 467 iterations (0.88 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 479 iterations (0.90 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 451 iterations (0.87 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 475 iterations (0.91 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 381 iterations (0.73 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 366 iterations (0.65 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 365 iterations (0.64 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 349 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 335 iterations (0.59 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 322 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 312 iterations (0.55 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 309 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 307 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.53 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 326 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 339 iterations (0.59 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 351 iterations (0.62 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 420 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 359 iterations (0.69 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 377 iterations (0.66 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 365 iterations (0.65 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 358 iterations (0.63 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 350 iterations (0.62 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 343 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 336 iterations (0.59 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 334 iterations (0.59 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 331 iterations (0.58 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 317 iterations (0.56 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 313 iterations (0.55 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 310 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 307 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 326 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 339 iterations (0.60 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 346 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 354 iterations (0.62 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 391 iterations (0.73 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 351 iterations (0.62 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 341 iterations (0.60 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 348 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 348 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 337 iterations (0.60 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 330 iterations (0.58 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 326 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 322 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 316 iterations (0.56 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 313 iterations (0.55 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 310 iterations (0.55 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 308 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 306 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 322 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 340 iterations (0.60 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 357 iterations (0.66 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 349 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 355 iterations (0.63 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 349 iterations (0.61 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 330 iterations (0.58 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 326 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 323 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 320 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 320 iterations (0.56 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 322 iterations (0.57 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 318 iterations (0.56 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 314 iterations (0.55 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 0.5500, 0.0500])
