0: Goal not reached in 4053 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 4268 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.3500, 0.0500])
0: Goal not reached in 4253 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 4255 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 4076 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 725 iterations (1.66 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 447 iterations (0.97 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 442 iterations (0.96 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 418 iterations (0.96 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 422 iterations (0.90 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 396 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 390 iterations (0.83 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 381 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 378 iterations (0.80 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 384 iterations (0.77 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 357 iterations (0.75 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 325 iterations (0.65 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 314 iterations (0.63 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 308 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.60 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 639 iterations (1.38 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 727 iterations (1.62 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 1074 iterations (2.39 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 2386 iterations (5.38 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 607 iterations (1.33 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 443 iterations (0.97 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 397 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 387 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 422 iterations (0.92 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 414 iterations (0.89 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 405 iterations (0.88 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 405 iterations (0.87 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
