1: Goal reached in 310 iterations (0.43 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.44 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.43 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.43 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.44 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.43 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.43 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.45 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
0: Goal not reached in 5344 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 5357 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 5351 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 5246 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 5349 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 5370 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 4569 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 977 iterations (2.32 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 2248 iterations (5.36 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 814 iterations (1.91 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 1124 iterations (2.62 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 864 iterations (2.04 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
