1: Goal reached in 3030 iterations (6.43 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7626,  0.0500])
1: Goal reached in 1478 iterations (3.59 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9300,  0.0500])
1: Goal reached in 2059 iterations (4.91 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7506,  0.0500])
1: Goal reached in 786 iterations (1.86 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7540,  0.0500])
1: Goal reached in 1005 iterations (2.39 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7528,  0.0500])
0: Goal not reached in 4130 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9141,  0.0500])
1: Goal reached in 2502 iterations (6.06 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7556,  0.0500])
1: Goal reached in 1434 iterations (3.43 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9039,  0.0500])
1: Goal reached in 747 iterations (1.78 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8796,  0.0500])
1: Goal reached in 761 iterations (1.84 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8622,  0.0500])
0: Goal not reached in 4128 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7817,  0.0500])
1: Goal reached in 1121 iterations (2.72 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9256,  0.0500])
