1: Goal reached in 503 iterations (1.02 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 599 iterations (1.21 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 537 iterations (1.10 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 531 iterations (1.12 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 475 iterations (1.00 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 516 iterations (1.04 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 486 iterations (0.97 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 470 iterations (0.95 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 480 iterations (0.95 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 483 iterations (0.89 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 450 iterations (0.83 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 438 iterations (0.80 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 427 iterations (0.79 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 423 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 425 iterations (0.79 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 426 iterations (0.79 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 425 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 578 iterations (1.16 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 544 iterations (1.09 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 641 iterations (1.28 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 604 iterations (1.21 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 684 iterations (1.37 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 527 iterations (1.07 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 605 iterations (1.16 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 543 iterations (1.08 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 494 iterations (0.98 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 534 iterations (1.04 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 511 iterations (0.99 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 447 iterations (0.83 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 432 iterations (0.79 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 427 iterations (0.79 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 425 iterations (0.79 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
