1: Goal reached in 287 iterations (3.56 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 620 iterations (7.09 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
0: Goal not reached in 819 iterations (10.01 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 591 iterations (7.02 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 466 iterations (5.09 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 295 iterations (3.48 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 672 iterations (8.00 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 622 iterations (7.57 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 303 iterations (3.77 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 460 iterations (5.73 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 439 iterations (5.23 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 447 iterations (5.52 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 416 iterations (4.93 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 499 iterations (5.76 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 428 iterations (5.11 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 477 iterations (5.81 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 586 iterations (7.52 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 321 iterations (4.01 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 446 iterations (5.42 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 439 iterations (5.13 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 343 iterations (4.34 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 575 iterations (6.67 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 494 iterations (5.93 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 517 iterations (6.31 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 442 iterations (5.31 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 539 iterations (6.67 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 456 iterations (5.99 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 460 iterations (5.85 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 384 iterations (4.57 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 384 iterations (4.51 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 395 iterations (4.83 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 404 iterations (5.22 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 473 iterations (6.00 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 374 iterations (4.62 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 308 iterations (3.98 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 511 iterations (6.42 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 470 iterations (5.86 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 426 iterations (5.03 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 542 iterations (6.36 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 451 iterations (5.30 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 431 iterations (5.19 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 399 iterations (5.11 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 397 iterations (5.00 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 440 iterations (4.94 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 393 iterations (4.71 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 446 iterations (5.27 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 434 iterations (5.52 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 396 iterations (4.75 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 437 iterations (5.57 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 256 iterations (3.38 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 471 iterations (6.04 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 419 iterations (5.32 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 459 iterations (5.29 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 391 iterations (4.92 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 424 iterations (5.21 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 386 iterations (4.91 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 396 iterations (4.71 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 370 iterations (4.75 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 502 iterations (6.15 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 473 iterations (5.25 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 418 iterations (4.91 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 488 iterations (6.02 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 481 iterations (5.20 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 431 iterations (4.68 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 510 iterations (5.46 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 479 iterations (5.21 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 498 iterations (5.43 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 508 iterations (4.96 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 403 iterations (3.57 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 422 iterations (3.74 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 524 iterations (5.01 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 475 iterations (4.75 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 460 iterations (5.20 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 471 iterations (5.80 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
