0: Goal not reached in 722 iterations (10.02 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 709 iterations (10.02 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 698 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 699 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 553 iterations (7.99 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 701 iterations (10.01 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
0: Goal not reached in 717 iterations (10.01 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
0: Goal not reached in 696 iterations (10.01 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
0: Goal not reached in 722 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
0: Goal not reached in 705 iterations (10.01 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
0: Goal not reached in 710 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 306 iterations (4.41 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 477 iterations (6.92 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 492 iterations (7.11 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 435 iterations (6.18 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 454 iterations (6.43 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 544 iterations (7.64 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 494 iterations (6.74 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 415 iterations (5.88 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 465 iterations (6.22 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 411 iterations (5.82 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
0: Goal not reached in 700 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 728 iterations (10.01 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 725 iterations (10.01 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 476 iterations (6.44 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 711 iterations (9.94 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 749 iterations (10.01 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 495 iterations (6.34 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 495 iterations (6.41 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 473 iterations (5.95 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 284 iterations (3.45 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 274 iterations (3.38 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 373 iterations (4.70 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 239 iterations (3.03 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 379 iterations (4.70 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 404 iterations (4.93 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 399 iterations (4.88 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 473 iterations (5.92 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 409 iterations (5.12 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 227 iterations (2.83 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 383 iterations (4.71 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 428 iterations (5.33 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 513 iterations (6.43 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 503 iterations (6.31 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 486 iterations (5.79 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 463 iterations (5.73 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 441 iterations (5.93 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 353 iterations (4.78 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 527 iterations (6.81 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 336 iterations (4.58 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 536 iterations (7.38 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 509 iterations (6.93 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 597 iterations (8.25 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 533 iterations (7.49 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 517 iterations (6.94 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 522 iterations (6.73 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 541 iterations (6.87 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 254 iterations (3.26 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 471 iterations (6.17 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 474 iterations (5.87 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
